date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2016-11-08,322.118780773,498.0,269864.0,2.1e-05,60.0,3748680.0,66.8548520001,
2016-11-09,422.208172277,419.0,272547.0,2.1e-05,553.0,3524040.0,59.4704489997,
2016-11-10,325.574215025,430.0,278395.0,2.2e-05,718.0,3274440.0,57.4986420002,
2016-11-11,381.003324365,476.0,274624.0,2.1e-05,594.0,3403920.0,63.9886710001,
2016-11-12,687.995455442,466.0,274961.0,2.1e-05,170.0,3366480.0,64.8567299996,
2016-11-13,807.030813264,463.0,327930.0,2.6e-05,365.0,3598920.0,66.0439120001,
2016-11-14,1014.30986729,509.0,317476.0,2.5e-05,639.0,3683160.0,41780.095949,
2016-11-15,3432.80636787,673.0,270589.0,2.1e-05,129.0,3461640.0,269.834543995,
2016-11-16,363.361294677,608.0,272949.0,2.1e-05,2867.0,3355560.0,77.334292,
2016-11-17,479.30316868,602.0,285624.0,2.2e-05,935.0,3269760.0,78.7810139997,
2016-11-18,388.33927233,686.0,284571.0,2.2e-05,499.0,3230760.0,84.7507780002,
2016-11-19,474.556157151,727.0,289762.0,2.3e-05,281.0,3268200.0,88.1650560002,
2016-11-20,468.23392055,752.0,297744.0,2.3e-05,117.0,3219840.0,8639.239049,
2016-11-21,307.912574587,516.0,282219.0,2.2e-05,299.0,3357120.0,67.8254060002,
2016-11-22,364.472323018,527.0,283726.0,2.2e-05,198.0,3536520.0,65.1660660005,
2016-11-23,315.292101275,484.0,288370.0,2.3e-05,465.0,3335280.0,62.386003,
2016-11-24,285.160063662,512.0,285778.0,2.2e-05,1851.0,3380520.0,70.6690319999,
2016-11-25,234.028338343,451.0,284108.0,2.2e-05,409.0,3299400.0,120.929116,
2016-11-26,1143.99157131,462.0,284621.0,2.2e-05,922.0,3291600.0,8614.04285,
2016-11-27,1155.51615872,508.0,284479.0,2.2e-05,292.0,3494400.0,83.7635999933,
2016-11-28,198.058661608,399.0,280959.0,2.2e-05,173.0,3290040.0,62.5581049999,
2016-11-29,157.890447856,349.0,199752.0,1.6e-05,301.0,3237000.0,47.6336120003,
2016-11-30,211.125166492,394.0,282327.0,2.2e-05,674.0,3174600.0,71.9692300002,
